id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home
1500000US530330100021,"Block Group 1, Census Tract 100.02, King County, Washington",471,311,116,23,63,0,30,0,0,0,20,9,0,15
1500000US530330100022,"Block Group 2, Census Tract 100.02, King County, Washington",1027,603,315,193,62,0,60,0,0,11,19,9,9,61
1500000US530330100023,"Block Group 3, Census Tract 100.02, King County, Washington",381,203,133,60,64,0,9,0,0,0,0,17,0,28
1500000US530330100024,"Block Group 4, Census Tract 100.02, King County, Washington",924,548,309,157,124,7,21,0,0,0,0,0,19,48
1500000US530330101001,"Block Group 1, Census Tract 101, King County, Washington",607,338,78,0,27,20,31,0,0,34,35,0,0,122
1500000US530330101002,"Block Group 2, Census Tract 101, King County, Washington",694,530,122,84,0,0,38,0,0,0,0,0,0,42
1500000US530330101003,"Block Group 3, Census Tract 101, King County, Washington",827,428,304,198,42,40,24,0,0,0,18,0,0,77
1500000US530330101004,"Block Group 4, Census Tract 101, King County, Washington",1177,612,484,398,36,0,50,0,0,0,37,13,31,0
1500000US530330101005,"Block Group 5, Census Tract 101, King County, Washington",1326,612,226,172,39,0,15,0,0,0,56,78,52,302
1500000US530330102001,"Block Group 1, Census Tract 102, King County, Washington",868,564,171,72,46,7,46,0,0,0,35,0,35,63
1500000US530330102002,"Block Group 2, Census Tract 102, King County, Washington",412,286,84,25,18,0,41,0,0,0,0,0,24,18
1500000US530330102003,"Block Group 3, Census Tract 102, King County, Washington",756,436,88,47,19,13,9,0,0,13,41,0,14,164
1500000US530330102004,"Block Group 4, Census Tract 102, King County, Washington",814,529,180,27,97,0,56,0,0,9,8,7,16,65
1500000US530330103001,"Block Group 1, Census Tract 103, King County, Washington",459,324,67,42,25,0,0,0,0,11,31,18,0,8
1500000US530330103002,"Block Group 2, Census Tract 103, King County, Washington",625,429,138,108,0,0,30,0,0,0,18,26,0,14
1500000US530330103003,"Block Group 3, Census Tract 103, King County, Washington",989,852,104,90,14,0,0,0,0,0,0,0,19,14
1500000US530330103004,"Block Group 4, Census Tract 103, King County, Washington",1226,689,412,172,116,0,124,0,0,0,0,13,13,99
1500000US530330103005,"Block Group 5, Census Tract 103, King County, Washington",829,329,346,104,188,0,54,0,0,15,49,14,0,76
1500000US530330104011,"Block Group 1, Census Tract 104.01, King County, Washington",454,247,89,27,23,0,39,0,0,13,0,53,0,52
1500000US530330104012,"Block Group 2, Census Tract 104.01, King County, Washington",1159,883,213,130,57,0,26,0,0,0,19,20,0,24
1500000US530330104013,"Block Group 3, Census Tract 104.01, King County, Washington",673,478,124,90,26,0,8,0,0,0,11,12,0,48
1500000US530330104021,"Block Group 1, Census Tract 104.02, King County, Washington",897,637,209,185,16,0,8,0,0,0,14,16,10,11
1500000US530330104022,"Block Group 2, Census Tract 104.02, King County, Washington",857,726,98,98,0,0,0,0,0,0,0,9,0,24
1500000US530330104023,"Block Group 3, Census Tract 104.02, King County, Washington",511,326,123,82,11,0,30,0,0,0,0,0,0,62
1500000US530330104024,"Block Group 4, Census Tract 104.02, King County, Washington",646,412,171,163,8,0,0,0,0,0,24,0,0,39
1500000US530330105001,"Block Group 1, Census Tract 105, King County, Washington",589,325,232,150,0,0,82,0,0,0,0,0,0,32
1500000US530330105002,"Block Group 2, Census Tract 105, King County, Washington",865,524,184,184,0,0,0,0,0,0,0,69,0,88
1500000US530330105003,"Block Group 3, Census Tract 105, King County, Washington",640,445,136,136,0,0,0,0,0,14,9,0,0,36
1500000US530330105004,"Block Group 4, Census Tract 105, King County, Washington",2709,1407,662,662,0,0,0,0,0,0,100,131,64,345
1500000US530330105005,"Block Group 5, Census Tract 105, King County, Washington",1121,713,381,381,0,0,0,0,0,0,0,0,0,27
1500000US530330106001,"Block Group 1, Census Tract 106, King County, Washington",955,618,174,174,0,0,0,0,0,0,20,49,0,94
1500000US530330106002,"Block Group 2, Census Tract 106, King County, Washington",961,613,166,166,0,0,0,0,0,0,14,47,0,121
1500000US530330106003,"Block Group 3, Census Tract 106, King County, Washington",990,573,235,235,0,0,0,0,0,0,16,33,18,115
1500000US530330106004,"Block Group 4, Census Tract 106, King County, Washington",767,520,90,72,0,0,0,18,0,0,0,51,13,93
1500000US530330106005,"Block Group 5, Census Tract 106, King County, Washington",805,548,43,43,0,0,0,0,0,0,0,50,0,164
1500000US530330106006,"Block Group 6, Census Tract 106, King County, Washington",749,444,228,228,0,0,0,0,0,0,18,30,0,29
1500000US530330107011,"Block Group 1, Census Tract 107.01, King County, Washington",1394,928,354,354,0,0,0,0,0,0,11,24,27,50
1500000US530330107012,"Block Group 2, Census Tract 107.01, King County, Washington",821,482,238,227,0,0,0,11,0,0,32,0,0,69
1500000US530330107021,"Block Group 1, Census Tract 107.02, King County, Washington",749,509,168,168,0,0,0,0,0,0,13,0,0,59
1500000US530330107022,"Block Group 2, Census Tract 107.02, King County, Washington",638,431,132,132,0,0,0,0,0,0,0,42,0,33
1500000US530330107023,"Block Group 3, Census Tract 107.02, King County, Washington",522,354,122,114,8,0,0,0,0,30,0,1,0,15
