id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330062002,"Block Group 2, Census Tract 62, King County, Washington",1876,1637,25,0,69,0,0,145,5,140
1500000US530330062003,"Block Group 3, Census Tract 62, King County, Washington",972,887,10,0,48,0,0,27,0,27
1500000US530330063001,"Block Group 1, Census Tract 63, King County, Washington",1647,1535,17,0,29,0,0,66,0,66
1500000US530330063002,"Block Group 2, Census Tract 63, King County, Washington",1276,1184,0,0,69,0,0,23,0,23
1500000US530330063003,"Block Group 3, Census Tract 63, King County, Washington",1478,1269,15,0,21,0,17,156,0,156
1500000US530330063004,"Block Group 4, Census Tract 63, King County, Washington",1450,1249,69,0,61,0,0,71,0,71
1500000US530330064001,"Block Group 1, Census Tract 64, King County, Washington",1350,1071,56,10,68,0,9,136,0,136
1500000US530330064002,"Block Group 2, Census Tract 64, King County, Washington",1061,851,0,0,96,0,0,114,11,103
1500000US530330064003,"Block Group 3, Census Tract 64, King County, Washington",1328,1179,6,28,67,24,4,20,0,20
1500000US530330065001,"Block Group 1, Census Tract 65, King County, Washington",1192,1018,0,0,55,0,41,78,0,78
1500000US530330065002,"Block Group 2, Census Tract 65, King County, Washington",1895,1572,21,10,164,15,16,97,0,97
1500000US530330065003,"Block Group 3, Census Tract 65, King County, Washington",1839,1500,1,0,149,0,23,166,0,166
1500000US530330066001,"Block Group 1, Census Tract 66, King County, Washington",2048,1495,73,16,327,0,43,94,0,94
1500000US530330066002,"Block Group 2, Census Tract 66, King County, Washington",2213,1782,17,0,242,0,0,172,0,172
1500000US530330067001,"Block Group 1, Census Tract 67, King County, Washington",3361,1407,85,0,1869,0,0,0,0,0
1500000US530330067002,"Block Group 2, Census Tract 67, King County, Washington",2465,1793,47,0,509,0,0,116,37,79
1500000US530330067003,"Block Group 3, Census Tract 67, King County, Washington",1960,1629,0,0,145,0,0,186,42,144
1500000US530330067004,"Block Group 4, Census Tract 67, King County, Washington",1579,1335,15,0,142,0,0,87,0,87
1500000US530330068001,"Block Group 1, Census Tract 68, King County, Washington",1641,1451,0,0,135,0,12,43,0,43
1500000US530330068002,"Block Group 2, Census Tract 68, King County, Washington",1831,1519,0,0,237,0,35,40,8,32
1500000US530330069001,"Block Group 1, Census Tract 69, King County, Washington",1327,1243,0,0,32,0,50,2,0,2
1500000US530330069002,"Block Group 2, Census Tract 69, King County, Washington",1318,1003,0,0,207,0,0,108,0,108
1500000US530330069003,"Block Group 3, Census Tract 69, King County, Washington",1114,995,0,0,11,0,0,108,16,92
1500000US530330069004,"Block Group 4, Census Tract 69, King County, Washington",1405,1188,0,16,137,0,9,55,0,55
1500000US530330070001,"Block Group 1, Census Tract 70, King County, Washington",1198,1049,64,0,55,0,0,30,0,30
1500000US530330070002,"Block Group 2, Census Tract 70, King County, Washington",1226,1119,26,0,28,0,0,53,53,0
1500000US530330070003,"Block Group 3, Census Tract 70, King County, Washington",1797,985,0,24,490,0,31,267,79,188
1500000US530330070004,"Block Group 4, Census Tract 70, King County, Washington",1192,900,85,1,91,34,0,81,0,81
1500000US530330070005,"Block Group 5, Census Tract 70, King County, Washington",950,795,0,0,56,0,0,99,0,99
1500000US530330070006,"Block Group 6, Census Tract 70, King County, Washington",1129,934,33,84,37,0,0,41,0,41
1500000US530330071001,"Block Group 1, Census Tract 71, King County, Washington",2109,1245,92,137,248,0,334,53,19,34
1500000US530330071002,"Block Group 2, Census Tract 71, King County, Washington",3192,2101,180,7,623,0,36,245,57,188
1500000US530330072001,"Block Group 1, Census Tract 72, King County, Washington",6225,3284,335,121,1787,0,6,692,15,677
1500000US530330072002,"Block Group 2, Census Tract 72, King County, Washington",2478,1480,66,26,823,0,0,83,0,83
1500000US530330072003,"Block Group 3, Census Tract 72, King County, Washington",2590,1588,94,0,762,0,67,79,27,52
1500000US530330073001,"Block Group 1, Census Tract 73, King County, Washington",3690,2071,351,2,956,50,63,197,0,197
1500000US530330073002,"Block Group 2, Census Tract 73, King County, Washington",2090,1081,379,5,467,0,68,90,31,59
1500000US530330073003,"Block Group 3, Census Tract 73, King County, Washington",2700,1651,72,0,630,0,33,314,17,297
1500000US530330074011,"Block Group 1, Census Tract 74.01, King County, Washington",1391,998,22,0,225,0,18,128,0,128
1500000US530330074012,"Block Group 2, Census Tract 74.01, King County, Washington",1598,994,78,0,449,0,17,60,0,60
1500000US530330074013,"Block Group 3, Census Tract 74.01, King County, Washington",1246,909,37,0,236,0,0,64,0,64
1500000US530330074014,"Block Group 4, Census Tract 74.01, King County, Washington",1427,1065,29,0,222,0,0,111,0,111
1500000US530330074021,"Block Group 1, Census Tract 74.02, King County, Washington",1943,1355,145,0,330,0,0,113,0,113
1500000US530330074022,"Block Group 2, Census Tract 74.02, King County, Washington",1804,1288,80,0,213,0,61,162,0,162
1500000US530330074023,"Block Group 3, Census Tract 74.02, King County, Washington",1955,1194,129,0,222,0,64,346,21,325
1500000US530330075001,"Block Group 1, Census Tract 75, King County, Washington",1824,1209,81,0,248,0,27,259,0,259
1500000US530330075002,"Block Group 2, Census Tract 75, King County, Washington",1442,1234,33,0,146,0,29,0,0,0
1500000US530330075003,"Block Group 3, Census Tract 75, King County, Washington",1796,1252,56,0,216,0,92,180,0,180
1500000US530330075004,"Block Group 4, Census Tract 75, King County, Washington",2819,2198,126,0,210,0,0,285,0,285
1500000US530330075005,"Block Group 5, Census Tract 75, King County, Washington",1506,1213,0,0,72,0,84,137,0,137
1500000US530330076001,"Block Group 1, Census Tract 76, King County, Washington",1475,1248,10,0,83,0,0,134,0,134
1500000US530330076002,"Block Group 2, Census Tract 76, King County, Washington",1758,1255,100,0,246,0,17,140,0,140
1500000US530330076003,"Block Group 3, Census Tract 76, King County, Washington",1336,1197,35,0,77,0,0,27,0,27
1500000US530330077001,"Block Group 1, Census Tract 77, King County, Washington",1476,984,214,0,77,0,43,158,0,158
1500000US530330077002,"Block Group 2, Census Tract 77, King County, Washington",1079,765,129,0,54,0,0,131,0,131
1500000US530330077003,"Block Group 3, Census Tract 77, King County, Washington",1077,684,271,13,78,0,0,31,0,31
1500000US530330077004,"Block Group 4, Census Tract 77, King County, Washington",1843,1467,111,55,33,0,85,92,0,92
1500000US530330078001,"Block Group 1, Census Tract 78, King County, Washington",1364,1201,3,0,76,0,0,84,0,84
1500000US530330078002,"Block Group 2, Census Tract 78, King County, Washington",2070,1637,110,0,61,0,0,262,0,262
1500000US530330078003,"Block Group 3, Census Tract 78, King County, Washington",1175,808,162,13,47,0,14,131,0,131
1500000US530330078004,"Block Group 4, Census Tract 78, King County, Washington",1291,1101,75,0,76,0,0,39,0,39
1500000US530330079001,"Block Group 1, Census Tract 79, King County, Washington",1247,1016,55,16,98,0,1,61,0,61
1500000US530330079002,"Block Group 2, Census Tract 79, King County, Washington",1033,541,262,82,47,0,57,44,0,44
1500000US530330079003,"Block Group 3, Census Tract 79, King County, Washington",812,702,62,0,19,2,7,20,6,14
1500000US530330079004,"Block Group 4, Census Tract 79, King County, Washington",1313,1040,33,27,132,0,16,65,0,65
1500000US530330079005,"Block Group 5, Census Tract 79, King County, Washington",2029,1512,307,0,119,0,27,64,20,44
1500000US530330080011,"Block Group 1, Census Tract 80.01, King County, Washington",2168,1651,0,0,357,0,23,137,0,137
1500000US530330080012,"Block Group 2, Census Tract 80.01, King County, Washington",1109,789,35,25,132,0,0,128,0,128
1500000US530330080013,"Block Group 3, Census Tract 80.01, King County, Washington",1291,656,0,0,596,0,0,39,0,39
1500000US530330080014,"Block Group 4, Census Tract 80.01, King County, Washington",1541,1137,63,0,282,0,0,59,0,59
1500000US530330080015,"Block Group 5, Census Tract 80.01, King County, Washington",1074,692,0,0,313,0,36,33,33,0
1500000US530330080021,"Block Group 1, Census Tract 80.02, King County, Washington",2044,1463,102,25,337,0,12,105,0,105
1500000US530330080022,"Block Group 2, Census Tract 80.02, King County, Washington",1741,893,227,33,448,0,55,85,0,85
1500000US530330081001,"Block Group 1, Census Tract 81, King County, Washington",2092,1669,15,16,330,0,46,16,0,16
1500000US530330081002,"Block Group 2, Census Tract 81, King County, Washington",1571,873,281,47,132,0,53,185,0,185
1500000US530330081003,"Block Group 3, Census Tract 81, King County, Washington",1245,912,90,0,74,0,26,143,0,143
1500000US530330082001,"Block Group 1, Census Tract 82, King County, Washington",1777,1089,102,0,448,0,0,138,0,138
1500000US530330082002,"Block Group 2, Census Tract 82, King County, Washington",1035,613,115,0,196,0,21,90,40,50
1500000US530330082003,"Block Group 3, Census Tract 82, King County, Washington",1464,971,68,0,313,0,38,74,0,74
1500000US530330083001,"Block Group 1, Census Tract 83, King County, Washington",1110,729,33,9,305,0,10,24,0,24
1500000US530330083002,"Block Group 2, Census Tract 83, King County, Washington",2085,1371,142,34,457,0,55,26,0,26
1500000US530330084001,"Block Group 1, Census Tract 84, King County, Washington",1756,1230,122,0,339,0,28,37,0,37
1500000US530330084002,"Block Group 2, Census Tract 84, King County, Washington",2041,1371,81,0,431,0,15,143,17,126
1500000US530330084003,"Block Group 3, Census Tract 84, King County, Washington",1292,848,228,0,166,0,0,50,0,50
1500000US530330085001,"Block Group 1, Census Tract 85, King County, Washington",1582,1146,85,0,251,2,23,75,0,75
1500000US530330085002,"Block Group 2, Census Tract 85, King County, Washington",770,466,42,0,219,0,0,43,0,43
1500000US530330085003,"Block Group 3, Census Tract 85, King County, Washington",1945,788,548,53,184,25,125,222,2,220
1500000US530330086001,"Block Group 1, Census Tract 86, King County, Washington",2487,1832,155,0,368,0,74,58,0,58
1500000US530330086002,"Block Group 2, Census Tract 86, King County, Washington",2660,1446,99,18,707,17,103,270,51,219
1500000US530330086003,"Block Group 3, Census Tract 86, King County, Washington",1327,746,206,10,224,0,48,93,0,93
1500000US530330087001,"Block Group 1, Census Tract 87, King County, Washington",1608,1101,123,9,220,10,28,117,10,107
1500000US530330087002,"Block Group 2, Census Tract 87, King County, Washington",1457,575,465,12,100,0,0,305,0,305
1500000US530330087003,"Block Group 3, Census Tract 87, King County, Washington",1377,881,197,0,125,0,62,112,8,104
1500000US530330088001,"Block Group 1, Census Tract 88, King County, Washington",1391,1035,74,0,184,0,8,90,0,90
1500000US530330088002,"Block Group 2, Census Tract 88, King County, Washington",1527,843,506,0,105,0,22,51,0,51
1500000US530330088003,"Block Group 3, Census Tract 88, King County, Washington",1760,853,312,0,0,176,274,145,0,145
1500000US530330089001,"Block Group 1, Census Tract 89, King County, Washington",1398,997,22,0,270,0,0,109,41,68
1500000US530330089002,"Block Group 2, Census Tract 89, King County, Washington",2216,903,788,34,305,0,17,169,0,169
1500000US530330089003,"Block Group 3, Census Tract 89, King County, Washington",1293,660,274,0,123,0,11,225,0,225
1500000US530330089004,"Block Group 4, Census Tract 89, King County, Washington",1249,621,395,4,128,0,0,101,0,101
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",1566,717,414,59,121,8,35,212,11,201
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1906,577,479,10,660,0,0,180,20,160
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",916,131,20,87,630,0,0,48,0,48
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1721,517,83,0,1006,0,26,89,12,77
1500000US530330092001,"Block Group 1, Census Tract 92, King County, Washington",1340,517,92,30,568,0,25,108,0,108
1500000US530330092002,"Block Group 2, Census Tract 92, King County, Washington",1241,751,176,51,127,4,33,99,34,65
1500000US530330093001,"Block Group 1, Census Tract 93, King County, Washington",675,383,85,8,162,0,0,37,0,37
1500000US530330093002,"Block Group 2, Census Tract 93, King County, Washington",1441,1100,75,22,80,0,36,128,0,128
1500000US530330093003,"Block Group 3, Census Tract 93, King County, Washington",1063,448,121,0,302,0,0,192,0,192
1500000US530330094001,"Block Group 1, Census Tract 94, King County, Washington",2087,866,10,0,397,3,800,11,4,7
1500000US530330094002,"Block Group 2, Census Tract 94, King County, Washington",1180,617,126,0,329,0,0,108,0,108
1500000US530330094003,"Block Group 3, Census Tract 94, King County, Washington",1164,352,267,0,475,0,0,70,22,48
1500000US530330094004,"Block Group 4, Census Tract 94, King County, Washington",1285,455,20,15,435,0,251,109,0,109
1500000US530330094005,"Block Group 5, Census Tract 94, King County, Washington",1379,599,221,94,316,0,54,95,16,79
1500000US530330095001,"Block Group 1, Census Tract 95, King County, Washington",1934,1432,79,0,205,0,11,207,0,207
1500000US530330095002,"Block Group 2, Census Tract 95, King County, Washington",1517,844,409,16,169,0,13,66,0,66
1500000US530330095003,"Block Group 3, Census Tract 95, King County, Washington",1450,1138,149,0,122,0,0,41,0,41
1500000US530330095004,"Block Group 4, Census Tract 95, King County, Washington",1887,826,567,0,360,0,66,68,0,68
1500000US530330096001,"Block Group 1, Census Tract 96, King County, Washington",965,878,3,19,65,0,0,0,0,0
1500000US530330096002,"Block Group 2, Census Tract 96, King County, Washington",1279,1155,0,0,24,0,0,100,0,100
1500000US530330096003,"Block Group 3, Census Tract 96, King County, Washington",978,686,0,0,139,0,18,135,48,87
1500000US530330096004,"Block Group 4, Census Tract 96, King County, Washington",1345,905,45,28,204,0,0,163,0,163
1500000US530330096005,"Block Group 5, Census Tract 96, King County, Washington",1204,978,16,0,121,0,23,66,0,66
1500000US530330097011,"Block Group 1, Census Tract 97.01, King County, Washington",2030,1652,19,0,127,0,16,216,18,198
1500000US530330097012,"Block Group 2, Census Tract 97.01, King County, Washington",852,768,0,0,64,0,0,20,0,20
1500000US530330097013,"Block Group 3, Census Tract 97.01, King County, Washington",1340,1013,0,0,101,0,59,167,35,132
1500000US530330097014,"Block Group 4, Census Tract 97.01, King County, Washington",1797,1694,20,0,67,0,0,16,0,16
1500000US530330097021,"Block Group 1, Census Tract 97.02, King County, Washington",1245,1129,0,0,67,0,0,49,0,49
1500000US530330097022,"Block Group 2, Census Tract 97.02, King County, Washington",1217,1035,0,12,50,0,0,120,13,107
1500000US530330097023,"Block Group 3, Census Tract 97.02, King County, Washington",820,715,76,0,0,11,0,18,0,18
1500000US530330097024,"Block Group 4, Census Tract 97.02, King County, Washington",1090,1009,1,1,15,0,0,64,0,64
1500000US530330097025,"Block Group 5, Census Tract 97.02, King County, Washington",1323,1283,0,0,0,0,0,40,0,40
1500000US530330098001,"Block Group 1, Census Tract 98, King County, Washington",1308,1077,0,0,36,0,7,188,0,188
1500000US530330098002,"Block Group 2, Census Tract 98, King County, Washington",1264,1168,0,0,50,0,0,46,0,46
1500000US530330098003,"Block Group 3, Census Tract 98, King County, Washington",1521,1127,53,0,179,0,0,162,0,162
1500000US530330098004,"Block Group 4, Census Tract 98, King County, Washington",1858,1594,19,0,104,0,0,141,0,141
1500000US530330098005,"Block Group 5, Census Tract 98, King County, Washington",1367,1019,21,0,109,0,29,189,23,166
1500000US530330099001,"Block Group 1, Census Tract 99, King County, Washington",1276,1051,0,0,125,0,67,33,21,12
1500000US530330099002,"Block Group 2, Census Tract 99, King County, Washington",1675,1101,45,0,200,0,73,256,78,178
1500000US530330099003,"Block Group 3, Census Tract 99, King County, Washington",1610,1224,83,0,98,0,34,171,0,171
1500000US530330099004,"Block Group 4, Census Tract 99, King County, Washington",1335,1016,76,0,105,0,0,138,0,138
1500000US530330100011,"Block Group 1, Census Tract 100.01, King County, Washington",1330,577,187,197,330,0,0,39,0,39
1500000US530330100012,"Block Group 2, Census Tract 100.01, King County, Washington",1147,678,5,0,380,0,24,60,8,52
1500000US530330100013,"Block Group 3, Census Tract 100.01, King County, Washington",2142,387,1223,0,481,0,0,51,0,51
1500000US530330100021,"Block Group 1, Census Tract 100.02, King County, Washington",774,357,178,0,186,0,10,43,0,43
1500000US530330100022,"Block Group 2, Census Tract 100.02, King County, Washington",1705,839,91,0,434,0,272,69,10,59
1500000US530330100023,"Block Group 3, Census Tract 100.02, King County, Washington",815,374,59,0,285,0,0,97,0,97
1500000US530330100024,"Block Group 4, Census Tract 100.02, King County, Washington",1549,572,125,0,621,0,68,163,19,144
1500000US530330101001,"Block Group 1, Census Tract 101, King County, Washington",1147,672,210,0,187,0,0,78,10,68
1500000US530330101002,"Block Group 2, Census Tract 101, King County, Washington",1139,570,197,0,74,92,0,206,0,206
1500000US530330101003,"Block Group 3, Census Tract 101, King County, Washington",1967,311,851,0,472,0,185,148,0,148
1500000US530330101004,"Block Group 4, Census Tract 101, King County, Washington",2076,787,373,5,542,0,251,118,0,118
1500000US530330101005,"Block Group 5, Census Tract 101, King County, Washington",2342,1178,696,0,369,0,0,99,0,99
1500000US530330102001,"Block Group 1, Census Tract 102, King County, Washington",1477,1053,226,0,145,0,30,23,0,23
1500000US530330102002,"Block Group 2, Census Tract 102, King County, Washington",905,626,50,0,167,0,9,53,9,44
1500000US530330102003,"Block Group 3, Census Tract 102, King County, Washington",1278,463,223,0,455,0,47,90,19,71
1500000US530330102004,"Block Group 4, Census Tract 102, King County, Washington",1286,1020,131,0,70,0,9,56,0,56
1500000US530330103001,"Block Group 1, Census Tract 103, King County, Washington",843,676,23,0,81,0,4,59,0,59
1500000US530330103002,"Block Group 2, Census Tract 103, King County, Washington",1394,521,551,0,109,0,17,196,0,196
1500000US530330103003,"Block Group 3, Census Tract 103, King County, Washington",2211,293,1375,0,425,31,57,30,0,30
1500000US530330103004,"Block Group 4, Census Tract 103, King County, Washington",1923,863,384,0,513,0,0,163,0,163
1500000US530330103005,"Block Group 5, Census Tract 103, King County, Washington",1148,828,103,9,153,0,0,55,0,55
1500000US530330104011,"Block Group 1, Census Tract 104.01, King County, Washington",945,234,291,0,274,0,82,64,0,64
1500000US530330104012,"Block Group 2, Census Tract 104.01, King County, Washington",2193,349,516,0,1064,0,25,239,39,200
1500000US530330104013,"Block Group 3, Census Tract 104.01, King County, Washington",1183,163,73,0,813,0,82,52,0,52
1500000US530330104021,"Block Group 1, Census Tract 104.02, King County, Washington",1525,398,61,0,753,0,207,106,0,106
1500000US530330104022,"Block Group 2, Census Tract 104.02, King County, Washington",1388,245,124,0,977,0,11,31,0,31
1500000US530330104023,"Block Group 3, Census Tract 104.02, King County, Washington",820,358,0,0,283,0,69,110,25,85
1500000US530330104024,"Block Group 4, Census Tract 104.02, King County, Washington",1167,519,85,0,371,0,51,141,0,141
1500000US530330105001,"Block Group 1, Census Tract 105, King County, Washington",1380,873,128,32,320,7,0,20,20,0
1500000US530330105002,"Block Group 2, Census Tract 105, King County, Washington",1312,963,36,0,122,0,14,177,0,177
1500000US530330105003,"Block Group 3, Census Tract 105, King County, Washington",1141,1049,0,0,0,0,0,92,0,92
1500000US530330105004,"Block Group 4, Census Tract 105, King County, Washington",3561,2711,96,0,279,0,130,345,0,345
1500000US530330105005,"Block Group 5, Census Tract 105, King County, Washington",1801,1394,18,32,47,0,13,297,22,275
1500000US530330106001,"Block Group 1, Census Tract 106, King County, Washington",1566,1238,0,0,132,0,15,181,15,166
1500000US530330106002,"Block Group 2, Census Tract 106, King County, Washington",1164,865,0,0,38,0,189,72,20,52
1500000US530330106003,"Block Group 3, Census Tract 106, King County, Washington",1812,1445,18,40,265,13,0,31,0,31
1500000US530330106004,"Block Group 4, Census Tract 106, King County, Washington",1235,1091,1,0,62,0,0,81,0,81
1500000US530330106005,"Block Group 5, Census Tract 106, King County, Washington",1607,1428,79,0,80,0,20,0,0,0
1500000US530330106006,"Block Group 6, Census Tract 106, King County, Washington",1266,1048,50,0,35,0,47,86,23,63
1500000US530330107011,"Block Group 1, Census Tract 107.01, King County, Washington",2492,868,860,0,504,106,74,80,40,40
1500000US530330107012,"Block Group 2, Census Tract 107.01, King County, Washington",1486,796,276,0,175,10,86,143,0,143
1500000US530330107021,"Block Group 1, Census Tract 107.02, King County, Washington",1318,926,99,0,201,0,0,92,0,92
1500000US530330107022,"Block Group 2, Census Tract 107.02, King County, Washington",1999,317,927,1,671,0,22,61,17,44
1500000US530330107023,"Block Group 3, Census Tract 107.02, King County, Washington",1489,339,919,0,41,0,154,36,0,36
1500000US530330108001,"Block Group 1, Census Tract 108, King County, Washington",1244,791,40,0,185,15,53,160,21,139
1500000US530330108002,"Block Group 2, Census Tract 108, King County, Washington",1305,690,138,0,337,0,0,140,0,140
1500000US530330108003,"Block Group 3, Census Tract 108, King County, Washington",2353,1067,290,0,639,19,42,296,22,274
1500000US530330109001,"Block Group 1, Census Tract 109, King County, Washington",650,558,12,0,0,21,16,43,0,43
1500000US530330109002,"Block Group 2, Census Tract 109, King County, Washington",444,331,55,3,27,0,9,19,0,19
1500000US530330110011,"Block Group 1, Census Tract 110.01, King County, Washington",1408,335,227,0,718,0,40,88,0,88
1500000US530330110012,"Block Group 2, Census Tract 110.01, King County, Washington",1249,227,470,11,418,18,14,91,0,91
1500000US530330110013,"Block Group 3, Census Tract 110.01, King County, Washington",2349,242,1106,0,781,0,195,25,13,12
1500000US530330110021,"Block Group 1, Census Tract 110.02, King County, Washington",963,149,71,0,626,0,108,9,9,0
1500000US530330110022,"Block Group 2, Census Tract 110.02, King County, Washington",2775,169,1661,0,933,0,0,12,0,12
1500000US530330110023,"Block Group 3, Census Tract 110.02, King County, Washington",1185,183,84,0,918,0,0,0,0,0
1500000US530330111011,"Block Group 1, Census Tract 111.01, King County, Washington",962,179,496,0,138,96,8,45,0,45
1500000US530330111012,"Block Group 2, Census Tract 111.01, King County, Washington",1580,687,123,0,613,28,0,129,0,129
1500000US530330111013,"Block Group 3, Census Tract 111.01, King County, Washington",1713,314,456,12,811,0,0,120,0,120
1500000US530330111014,"Block Group 4, Census Tract 111.01, King County, Washington",1306,143,208,12,817,12,78,36,0,36
1500000US530330111021,"Block Group 1, Census Tract 111.02, King County, Washington",1543,1209,50,0,130,0,0,154,0,154
1500000US530330111022,"Block Group 2, Census Tract 111.02, King County, Washington",1304,709,97,0,450,0,12,36,0,36
1500000US530330111023,"Block Group 3, Census Tract 111.02, King County, Washington",1141,267,250,0,272,0,273,79,0,79
1500000US530330111024,"Block Group 4, Census Tract 111.02, King County, Washington",1172,470,69,0,449,0,16,168,0,168
1500000US530330112001,"Block Group 1, Census Tract 112, King County, Washington",1116,333,147,0,398,45,0,193,0,193
1500000US530330112002,"Block Group 2, Census Tract 112, King County, Washington",1023,608,54,110,47,0,136,68,0,68
1500000US530330112003,"Block Group 3, Census Tract 112, King County, Washington",1512,666,189,0,135,10,422,90,0,90
1500000US530330113001,"Block Group 1, Census Tract 113, King County, Washington",1957,1323,215,0,302,0,0,117,0,117
1500000US530330113002,"Block Group 2, Census Tract 113, King County, Washington",1730,374,0,74,207,423,235,417,51,366
1500000US530330113003,"Block Group 3, Census Tract 113, King County, Washington",1074,546,182,40,151,0,57,98,0,98
1500000US530330113004,"Block Group 4, Census Tract 113, King County, Washington",741,535,22,19,0,0,0,165,15,150
1500000US530330113005,"Block Group 5, Census Tract 113, King County, Washington",1154,634,61,0,220,0,152,87,17,70
1500000US530330114011,"Block Group 1, Census Tract 114.01, King County, Washington",1465,847,150,13,290,0,27,138,0,138
1500000US530330114012,"Block Group 2, Census Tract 114.01, King County, Washington",1563,772,293,0,160,19,173,146,9,137
1500000US530330114013,"Block Group 3, Census Tract 114.01, King County, Washington",1461,807,263,35,127,0,191,38,0,38
1500000US530330114021,"Block Group 1, Census Tract 114.02, King County, Washington",1452,598,40,9,306,10,321,168,10,158
1500000US530330114022,"Block Group 2, Census Tract 114.02, King County, Washington",1375,492,167,0,147,0,446,123,0,123
1500000US530330114023,"Block Group 3, Census Tract 114.02, King County, Washington",1409,864,71,0,169,9,147,149,0,149
1500000US530330115001,"Block Group 1, Census Tract 115, King County, Washington",1766,1390,36,0,180,0,12,148,31,117
1500000US530330115002,"Block Group 2, Census Tract 115, King County, Washington",1422,1166,64,0,118,0,10,64,0,64
1500000US530330115003,"Block Group 3, Census Tract 115, King County, Washington",1351,1149,0,0,81,0,26,95,0,95
1500000US530330116001,"Block Group 1, Census Tract 116, King County, Washington",1900,1787,45,0,48,0,0,20,0,20
1500000US530330116002,"Block Group 2, Census Tract 116, King County, Washington",992,917,28,0,27,0,0,20,0,20
1500000US530330116003,"Block Group 3, Census Tract 116, King County, Washington",1491,1376,0,0,22,0,0,93,0,93
1500000US530330116004,"Block Group 4, Census Tract 116, King County, Washington",806,642,17,0,119,0,0,28,0,28
1500000US530330116005,"Block Group 5, Census Tract 116, King County, Washington",1001,908,0,0,33,0,0,60,0,60
1500000US530330116006,"Block Group 6, Census Tract 116, King County, Washington",875,836,28,5,6,0,0,0,0,0
1500000US530330117001,"Block Group 1, Census Tract 117, King County, Washington",1821,137,850,44,729,0,11,50,0,50
1500000US530330117002,"Block Group 2, Census Tract 117, King County, Washington",1595,262,327,28,651,65,0,262,57,205
1500000US530330117003,"Block Group 3, Census Tract 117, King County, Washington",1345,279,241,0,591,0,65,169,9,160
1500000US530330117004,"Block Group 4, Census Tract 117, King County, Washington",706,258,103,0,260,0,35,50,0,50
1500000US530330118001,"Block Group 1, Census Tract 118, King County, Washington",723,350,99,0,120,20,0,134,0,134
1500000US530330118002,"Block Group 2, Census Tract 118, King County, Washington",1213,588,375,0,15,0,0,235,0,235
1500000US530330118003,"Block Group 3, Census Tract 118, King County, Washington",1089,385,75,16,432,21,0,160,0,160
1500000US530330118004,"Block Group 4, Census Tract 118, King County, Washington",1504,139,787,15,378,0,110,75,0,75
1500000US530330118005,"Block Group 5, Census Tract 118, King County, Washington",1428,212,186,0,442,0,188,400,0,400
1500000US530330118006,"Block Group 6, Census Tract 118, King County, Washington",2751,208,989,0,573,0,532,449,33,416
1500000US530330119001,"Block Group 1, Census Tract 119, King County, Washington",2255,698,478,3,728,0,0,348,0,348
1500000US530330119002,"Block Group 2, Census Tract 119, King County, Washington",1216,686,198,32,260,0,0,40,0,40
1500000US530330119003,"Block Group 3, Census Tract 119, King County, Washington",1260,279,493,82,309,0,41,56,0,56
1500000US530330119004,"Block Group 4, Census Tract 119, King County, Washington",1908,374,549,0,935,0,17,33,0,33
1500000US530330119005,"Block Group 5, Census Tract 119, King County, Washington",880,448,173,0,235,0,0,24,0,24
1500000US530330120001,"Block Group 1, Census Tract 120, King County, Washington",1185,1010,0,0,46,0,45,84,28,56
1500000US530330120002,"Block Group 2, Census Tract 120, King County, Washington",1199,1102,10,0,13,0,0,74,0,74
1500000US530330120003,"Block Group 3, Census Tract 120, King County, Washington",1317,1009,286,0,7,0,0,15,0,15
1500000US530330121001,"Block Group 1, Census Tract 121, King County, Washington",1232,1088,20,0,41,0,12,71,40,31
1500000US530330121002,"Block Group 2, Census Tract 121, King County, Washington",1540,1258,16,26,111,0,1,128,3,125
1500000US530330201001,"Block Group 1, Census Tract 201, King County, Washington",1230,887,80,45,82,0,43,93,28,65
1500000US530330201002,"Block Group 2, Census Tract 201, King County, Washington",1117,932,52,6,112,0,0,15,0,15
1500000US530330201003,"Block Group 3, Census Tract 201, King County, Washington",972,862,0,0,86,0,0,24,0,24
1500000US530330202001,"Block Group 1, Census Tract 202, King County, Washington",898,717,0,0,134,0,0,47,0,47
1500000US530330202002,"Block Group 2, Census Tract 202, King County, Washington",1260,1220,0,0,13,0,0,27,0,27
1500000US530330202003,"Block Group 3, Census Tract 202, King County, Washington",877,647,161,13,23,0,0,33,0,33
1500000US530330202004,"Block Group 4, Census Tract 202, King County, Washington",1110,1059,0,0,51,0,0,0,0,0
1500000US530330202005,"Block Group 5, Census Tract 202, King County, Washington",1162,684,0,0,167,0,18,293,0,293
1500000US530330203001,"Block Group 1, Census Tract 203, King County, Washington",1802,1146,0,0,523,0,16,117,0,117
