id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330016001,"Block Group 1, Census Tract 16, King County, Washington",1766,1503,0,0,106,0,9,148,9,139
1500000US530330016002,"Block Group 2, Census Tract 16, King County, Washington",1448,1048,8,0,305,0,20,67,0,67
1500000US530330016003,"Block Group 3, Census Tract 16, King County, Washington",1555,1306,21,16,171,0,8,33,0,33
1500000US530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",2059,1291,198,9,231,1,3,326,0,326
1500000US530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",1220,955,97,0,48,23,27,70,11,59
1500000US530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",939,808,46,0,82,0,0,3,3,0
1500000US530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",2037,1587,189,0,126,0,17,118,0,118
1500000US530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",1250,794,0,33,150,0,160,113,0,113
1500000US530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",1197,1019,51,28,36,0,0,63,0,63
1500000US530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",627,400,11,0,204,0,0,12,0,12
1500000US530330018001,"Block Group 1, Census Tract 18, King County, Washington",1713,1251,2,0,250,14,5,191,0,191
1500000US530330018002,"Block Group 2, Census Tract 18, King County, Washington",1571,1227,0,0,231,17,29,67,0,67
1500000US530330018003,"Block Group 3, Census Tract 18, King County, Washington",1696,1402,35,0,162,0,32,65,0,65
1500000US530330019001,"Block Group 1, Census Tract 19, King County, Washington",2210,1337,62,15,626,0,17,153,57,96
1500000US530330019002,"Block Group 2, Census Tract 19, King County, Washington",1555,1262,89,0,125,0,11,68,19,49
1500000US530330019003,"Block Group 3, Census Tract 19, King County, Washington",1314,1138,15,0,71,0,7,83,0,83
1500000US530330020001,"Block Group 1, Census Tract 20, King County, Washington",1649,1294,11,0,234,0,31,79,11,68
1500000US530330020002,"Block Group 2, Census Tract 20, King County, Washington",1185,1006,12,9,91,0,0,67,0,67
1500000US530330020003,"Block Group 3, Census Tract 20, King County, Washington",1020,829,31,0,106,0,0,54,7,47
